symbol,trade_date,open_paise,high_paise,low_paise,close_paise,volume
ASIANPAINT,2007-01-02,7440,7490,7370,7406,139410
ASIANPAINT,2007-01-03,7411,7489,7374,7408,75150
ASIANPAINT,2007-01-04,7330,7549,7320,7493,144250
ASIANPAINT,2007-01-05,7535,7535,7373,7489,49620
ASIANPAINT,2007-01-08,7480,7480,7260,7288,251550
ASIANPAINT,2007-01-09,7250,7385,7200,7200,106700
ASIANPAINT,2007-01-10,7212,7300,7200,7207,66860
ASIANPAINT,2007-01-11,7480,7480,7170,7279,39330
ASIANPAINT,2007-01-12,7390,7440,7000,7137,135350
ASIANPAINT,2007-01-15,7400,8479,7190,7800,552910
ASIANPAINT,2007-01-16,7899,8010,7600,7883,364280
ASIANPAINT,2007-01-17,7900,8080,7899,8047,566320
ASIANPAINT,2007-01-18,8120,8140,7853,8082,380310
ASIANPAINT,2007-01-19,8020,8029,7850,7993,53570
ASIANPAINT,2007-01-22,8080,8089,7921,7986,42770
ASIANPAINT,2007-01-23,8097,8097,7850,7883,49110
ASIANPAINT,2007-01-24,7850,7979,7800,7904,23160
ASIANPAINT,2007-01-25,7950,8090,7900,8025,112320
ASIANPAINT,2007-01-29,8040,8150,7850,8000,137970
ASIANPAINT,2007-01-31,7650,8080,7650,7959,656840
ASIANPAINT,2007-02-01,7850,8018,7815,7950,542260
ASIANPAINT,2007-02-02,7811,7999,7800,7875,307820
ASIANPAINT,2007-02-05,7920,7920,7750,7783,231080
ASIANPAINT,2007-02-06,7930,7980,7700,7711,790990
ASIANPAINT,2007-02-07,7750,7798,7600,7672,649380
ASIANPAINT,2007-02-08,7699,8250,7614,8002,562480
ASIANPAINT,2007-02-09,8000,8050,7751,7917,97430
ASIANPAINT,2007-02-12,7761,7999,7550,7869,73170
ASIANPAINT,2007-02-13,7500,7885,7420,7845,98300
ASIANPAINT,2007-02-14,7800,7850,7533,7782,123670
ASIANPAINT,2007-02-15,7820,8070,7700,7893,183170
ASIANPAINT,2007-02-19,7910,7950,7761,7900,174750
ASIANPAINT,2007-02-20,7920,7950,7501,7616,211510
ASIANPAINT,2007-02-21,7699,7700,7554,7578,167300
ASIANPAINT,2007-02-22,7650,7650,7467,7551,348980
ASIANPAINT,2007-02-23,7500,7580,7260,7325,456720
ASIANPAINT,2007-02-26,7320,7347,7060,7317,170410
ASIANPAINT,2007-02-27,7449,8000,7263,7319,1933070
ASIANPAINT,2007-02-28,6950,7506,6940,7371,259450
ASIANPAINT,2007-03-01,7510,7510,7100,7173,256470
ASIANPAINT,2007-03-02,7300,7350,6980,7019,143830
ASIANPAINT,2007-03-05,6850,6980,6351,6557,243620
ASIANPAINT,2007-03-06,6555,6994,5510,6832,165460
ASIANPAINT,2007-03-07,6900,6950,6512,6613,193290
ASIANPAINT,2007-03-08,6621,7000,6450,6933,1621870
ASIANPAINT,2007-03-09,6861,7000,6720,6843,73500
ASIANPAINT,2007-03-12,6899,7200,6760,6975,118270
ASIANPAINT,2007-03-13,7170,7180,6886,6967,80890
ASIANPAINT,2007-03-14,6901,6990,6890,6900,770250
ASIANPAINT,2007-03-15,6800,7000,6800,6914,717250
ASIANPAINT,2007-03-16,6900,6929,6800,6854,1118850
ASIANPAINT,2007-03-19,6988,6997,6851,6956,69810
ASIANPAINT,2007-03-20,6950,7250,6786,7100,782320
ASIANPAINT,2007-03-21,7050,7090,6925,7070,37390
ASIANPAINT,2007-03-22,7100,7219,7100,7165,169740
ASIANPAINT,2007-03-23,7012,7200,7012,7163,141160
ASIANPAINT,2007-03-26,7161,7336,7161,7316,55590
ASIANPAINT,2007-03-28,7225,7490,7200,7422,2655220
ASIANPAINT,2007-03-29,7500,7700,7400,7573,225750
ASIANPAINT,2007-03-30,7600,7800,7500,7626,244180
ASIANPAINT,2007-04-02,7500,7540,7246,7403,133460
ASIANPAINT,2007-04-03,7460,7540,7320,7473,114300
ASIANPAINT,2007-04-04,7549,8487,7500,7684,55160
ASIANPAINT,2007-04-05,7601,7989,7601,7901,132970
