symbol,event_date,kind,ratio,in_scenario_window,source
ASIANPAINT,2013-07-30,split_or_bonus,10:1,false,price source split events
AXISBANK,2014-07-28,split_or_bonus,5:1,false,price source split events
BAJFINANCE,2016-09-08,split_or_bonus,5:1,false,price source split events
BAJFINANCE,2025-06-16,split_or_bonus,2:1,false,price source split events
ICICIBANK,2014-12-04,split_or_bonus,5:1,false,price source split events
ICICIBANK,2017-06-20,split_or_bonus,11:10,false,price source split events
INFY,2014-12-02,split_or_bonus,2:1,false,price source split events
INFY,2015-06-15,split_or_bonus,2:1,false,price source split events
INFY,2018-09-04,split_or_bonus,2:1,false,price source split events
ITC,2010-08-03,split_or_bonus,2:1,false,price source split events
ITC,2016-07-01,split_or_bonus,3:2,false,price source split events
KOTAKBANK,2010-09-13,split_or_bonus,2:1,false,price source split events
KOTAKBANK,2015-07-08,split_or_bonus,2:1,false,price source split events
KOTAKBANK,2026-01-14,split_or_bonus,5:1,false,price source split events
LT,2008-10-01,split_or_bonus,2:1,false,price source split events
LT,2013-07-11,split_or_bonus,3:2,false,price source split events
LT,2017-07-13,split_or_bonus,3:2,false,price source split events
RELIANCE,2009-11-26,split_or_bonus,2:1,false,price source split events
RELIANCE,2017-09-07,split_or_bonus,2:1,false,price source split events
RELIANCE,2024-10-28,split_or_bonus,2:1,false,price source split events
SBIN,2014-11-20,split_or_bonus,10:1,false,price source split events
SUNPHARMA,2010-11-25,split_or_bonus,5:1,false,price source split events
SUNPHARMA,2013-07-29,split_or_bonus,2:1,false,price source split events
TCS,2009-06-16,split_or_bonus,2:1,false,price source split events
TCS,2018-05-31,split_or_bonus,2:1,false,price source split events
TITAN,2011-06-23,split_or_bonus,10:1,false,price source split events
