symbol,trade_date,reason
ASIANPAINT,2019-10-27,date did not reach quorum as a trading day
ASIANPAINT,2020-11-14,date did not reach quorum as a trading day
ASIANPAINT,2025-02-01,date did not reach quorum as a trading day
AXISBANK,2019-10-27,date did not reach quorum as a trading day
AXISBANK,2020-11-14,date did not reach quorum as a trading day
AXISBANK,2025-02-01,date did not reach quorum as a trading day
BAJFINANCE,2019-10-27,date did not reach quorum as a trading day
BAJFINANCE,2020-11-14,date did not reach quorum as a trading day
BAJFINANCE,2025-02-01,date did not reach quorum as a trading day
GOLDBEES,2009-01-02,source reported a zero or negative price
GOLDBEES,2009-01-05,source reported a zero or negative price
GOLDBEES,2009-01-06,source reported a zero or negative price
GOLDBEES,2009-01-07,source reported a zero or negative price
GOLDBEES,2009-01-09,source reported a zero or negative price
GOLDBEES,2009-01-12,source reported a zero or negative price
GOLDBEES,2009-01-13,source reported a zero or negative price
GOLDBEES,2009-01-14,source reported a zero or negative price
GOLDBEES,2009-01-15,source reported a zero or negative price
GOLDBEES,2009-01-16,source reported a zero or negative price
GOLDBEES,2009-01-19,source reported a zero or negative price
GOLDBEES,2009-01-20,source reported a zero or negative price
GOLDBEES,2009-01-21,source reported a zero or negative price
GOLDBEES,2009-01-22,source reported a zero or negative price
GOLDBEES,2009-01-23,source reported a zero or negative price
GOLDBEES,2009-01-27,source reported a zero or negative price
GOLDBEES,2009-01-28,source reported a zero or negative price
GOLDBEES,2009-01-29,source reported a zero or negative price
GOLDBEES,2009-01-30,source reported a zero or negative price
GOLDBEES,2009-02-02,source reported a zero or negative price
GOLDBEES,2009-02-03,source reported a zero or negative price
GOLDBEES,2009-02-04,source reported a zero or negative price
GOLDBEES,2009-02-05,source reported a zero or negative price
GOLDBEES,2009-02-06,source reported a zero or negative price
GOLDBEES,2009-02-09,source reported a zero or negative price
GOLDBEES,2009-02-10,source reported a zero or negative price
GOLDBEES,2009-02-11,source reported a zero or negative price
GOLDBEES,2009-02-12,source reported a zero or negative price
GOLDBEES,2009-02-13,source reported a zero or negative price
GOLDBEES,2009-02-16,source reported a zero or negative price
GOLDBEES,2009-02-17,source reported a zero or negative price
GOLDBEES,2009-02-18,source reported a zero or negative price
GOLDBEES,2009-02-19,source reported a zero or negative price
GOLDBEES,2009-02-20,source reported a zero or negative price
GOLDBEES,2009-02-24,source reported a zero or negative price
GOLDBEES,2009-02-25,source reported a zero or negative price
GOLDBEES,2009-02-26,source reported a zero or negative price
GOLDBEES,2009-02-27,source reported a zero or negative price
GOLDBEES,2009-03-02,source reported a zero or negative price
GOLDBEES,2009-03-03,source reported a zero or negative price
GOLDBEES,2009-03-04,source reported a zero or negative price
GOLDBEES,2009-03-05,source reported a zero or negative price
GOLDBEES,2009-03-06,source reported a zero or negative price
GOLDBEES,2009-03-09,source reported a zero or negative price
GOLDBEES,2009-03-12,source reported a zero or negative price
GOLDBEES,2009-03-13,source reported a zero or negative price
GOLDBEES,2009-03-16,source reported a zero or negative price
GOLDBEES,2009-03-17,source reported a zero or negative price
GOLDBEES,2009-03-18,source reported a zero or negative price
GOLDBEES,2009-03-19,source reported a zero or negative price
GOLDBEES,2009-03-20,source reported a zero or negative price
GOLDBEES,2009-03-23,source reported a zero or negative price
GOLDBEES,2009-03-24,source reported a zero or negative price
GOLDBEES,2009-03-25,source reported a zero or negative price
GOLDBEES,2009-03-26,source reported a zero or negative price
GOLDBEES,2009-03-27,source reported a zero or negative price
GOLDBEES,2009-03-30,source reported a zero or negative price
GOLDBEES,2009-03-31,source reported a zero or negative price
GOLDBEES,2009-04-01,source reported a zero or negative price
GOLDBEES,2009-04-02,source reported a zero or negative price
GOLDBEES,2009-04-06,source reported a zero or negative price
GOLDBEES,2009-04-08,source reported a zero or negative price
GOLDBEES,2009-04-09,source reported a zero or negative price
GOLDBEES,2009-04-13,source reported a zero or negative price
GOLDBEES,2009-04-15,source reported a zero or negative price
GOLDBEES,2009-04-16,source reported a zero or negative price
GOLDBEES,2009-04-17,source reported a zero or negative price
GOLDBEES,2009-04-20,source reported a zero or negative price
GOLDBEES,2009-04-21,source reported a zero or negative price
GOLDBEES,2009-04-22,source reported a zero or negative price
GOLDBEES,2009-04-23,source reported a zero or negative price
GOLDBEES,2009-04-24,source reported a zero or negative price
GOLDBEES,2009-04-27,source reported a zero or negative price
GOLDBEES,2009-04-28,source reported a zero or negative price
GOLDBEES,2009-04-29,source reported a zero or negative price
GOLDBEES,2009-05-04,source reported a zero or negative price
GOLDBEES,2009-05-05,source reported a zero or negative price
GOLDBEES,2009-05-06,source reported a zero or negative price
GOLDBEES,2009-05-07,source reported a zero or negative price
GOLDBEES,2009-05-08,source reported a zero or negative price
GOLDBEES,2009-05-11,source reported a zero or negative price
GOLDBEES,2009-05-12,source reported a zero or negative price
GOLDBEES,2009-05-13,source reported a zero or negative price
GOLDBEES,2009-05-14,source reported a zero or negative price
GOLDBEES,2009-05-15,source reported a zero or negative price
GOLDBEES,2009-05-18,source reported a zero or negative price
GOLDBEES,2009-05-19,source reported a zero or negative price
GOLDBEES,2009-05-20,source reported a zero or negative price
GOLDBEES,2009-05-21,source reported a zero or negative price
GOLDBEES,2009-05-22,source reported a zero or negative price
GOLDBEES,2009-05-25,source reported a zero or negative price
GOLDBEES,2009-05-26,source reported a zero or negative price
GOLDBEES,2009-05-27,source reported a zero or negative price
GOLDBEES,2009-05-28,source reported a zero or negative price
GOLDBEES,2009-05-29,source reported a zero or negative price
GOLDBEES,2009-06-01,source reported a zero or negative price
GOLDBEES,2009-06-02,source reported a zero or negative price
GOLDBEES,2009-06-03,source reported a zero or negative price
GOLDBEES,2009-06-04,source reported a zero or negative price
GOLDBEES,2009-06-05,source reported a zero or negative price
GOLDBEES,2009-06-08,source reported a zero or negative price
GOLDBEES,2009-06-09,source reported a zero or negative price
GOLDBEES,2009-06-10,source reported a zero or negative price
GOLDBEES,2009-06-11,source reported a zero or negative price
GOLDBEES,2009-06-12,source reported a zero or negative price
GOLDBEES,2009-06-15,source reported a zero or negative price
GOLDBEES,2009-06-16,source reported a zero or negative price
GOLDBEES,2009-06-18,source reported a zero or negative price
GOLDBEES,2009-06-19,source reported a zero or negative price
GOLDBEES,2009-06-22,source reported a zero or negative price
GOLDBEES,2009-06-23,source reported a zero or negative price
GOLDBEES,2009-06-24,source reported a zero or negative price
